year,May_P,Jul_T,Jul_ppt,Jul_ppt_sq,June_ppt,corn_yield
2009,87.4,69,2.75,7.5625,4.11,181
2010,95.6,75.2,6.74,45.4276,11.16,165
2011,92,78.3,3.9,15.21,5.05,172
2012,92.3,79.6,1.47,2.1609,2.95,137
2013,39,73.8,1.01,1.0201,3.01,164
2014,78,69.6,2.88,8.2944,8.86,178
2015,89.4,72.7,5.96,35.5216,6.89,192
2016,88,74.2,5.85,34.2225,0.97,203
2017,86,76,0.99,0.9801,1.73,202
2018,71,74.3,4.21,17.7241,11.1,196
2019,57.4,75.8,4.61,21.2521,3.97,198
